className,bug,mutationsTotal,mutationsKilled,mutationsSurvived
org.aspectj.weaver.reflect.JoinPointMatchImpl,0,9,2,4
org.aspectj.weaver.tools.AbstractTrace,8,43,4,39
org.aspectj.org.eclipse.jdt.core.dom.InterTypeMethodDeclaration,2,14,6,0
org.aspectj.weaver.bcel.BcelAttributes,2,22,20,2
org.aspectj.bridge.WeaveMessage,2,56,32,6
org.aspectj.weaver.reflect.Java15AnnotationFinder,2,59,25,23
org.aspectj.weaver.bcel.ExceptionRange,0,92,27,45
org.aspectj.org.eclipse.jdt.core.dom.AjNaiveASTFlattener,1,655,66,29
org.aspectj.ajde.internal.LstBuildConfigFileUpdater,0,71,0,21
org.aspectj.weaver.bcel.ShadowRange,2,49,42,6
org.aspectj.org.eclipse.jdt.core.dom.AjASTConverter,2,2737,400,472
org.aspectj.weaver.NewConstructorTypeMunger,2,62,0,27
